Tag,Path,Mode,Methods,Description
CONFIG,/CONFIG/PROJECT,,"GET","Get Config Project"
CONFIG,/CONFIG/VER,,"GET","Get Config Ver"
DB_Analysis,/DB/ACTL,,"GET, POST, PUT, DELETE","Delete Db Actl"
DB_Analysis,/DB/ACTL/{id},,"GET, POST, PUT, DELETE","Delete Db Actl Key"
DB_Static Loads,/DB/ARPR,,"GET, POST, PUT, DELETE","Delete Db Arpr"
DB_Static Loads,/DB/ARPR/{id},,"GET, POST, PUT, DELETE","Delete Db Arpr Key"
DB_Analysis,/DB/BCCT,,"GET, POST, PUT, DELETE","Delete Db Bcct"
DB_Analysis,/DB/BCCT/{id},,"GET, POST, PUT, DELETE","Delete Db Bcct Key"
DB_Static Loads,/DB/BMLD,,"GET, POST, PUT, DELETE","Delete Db Bmld"
DB_Static Loads,/DB/BMLD/{id},,"GET, POST, PUT, DELETE","Delete Db Bmld Key"
DB_Project,/DB/BNGR,,"GET, POST, PUT, DELETE","Delete Db Bngr"
DB_Project,/DB/BNGR/{id},,"GET, POST, PUT, DELETE","Delete Db Bngr Key"
DB_Static Loads,/DB/BODF,,"GET, POST, PUT, DELETE","Delete Db Bodf"
DB_Static Loads,/DB/BODF/{id},,"GET, POST, PUT, DELETE","Delete Db Bodf Key"
DB_Temperature Loads,/DB/BTMP,,"GET, POST, PUT, DELETE","Delete Db Btmp"
DB_Temperature Loads,/DB/BTMP/{id},,"GET, POST, PUT, DELETE","Delete Db Btmp Key"
DB_Analysis,/DB/BUCK,,"GET, POST, PUT, DELETE","Delete Db Buck"
DB_Analysis,/DB/BUCK/{id},,"GET, POST, PUT, DELETE","Delete Db Buck Key"
DB_Bridge Specialization Results,/DB/CAMB,,"GET, POST, PUT, DELETE","Delete Db Camb"
DB_Bridge Specialization Results,/DB/CAMB/{id},,"GET, POST, PUT, DELETE","Delete Db Camb Key"
DB_Heat of Hydration Loads,/DB/CCFC,,"GET, POST, PUT, DELETE","Delete Db Ccfc"
DB_Heat of Hydration Loads,/DB/CCFC/{id},,"GET, POST, PUT, DELETE","Delete Db Ccfc Key"
DB_Boundary,/DB/CGLP,,"GET, POST, PUT, DELETE","Delete Db Cglp"
DB_Boundary,/DB/CGLP/{id},,"GET, POST, PUT, DELETE","Delete Db Cglp Key"
DB_Moving Loads,/DB/CJFG,,"GET, POST, PUT, DELETE","Delete Db Cjfg"
DB_Moving Loads,/DB/CJFG/{id},,"GET, POST, PUT, DELETE","Delete Db Cjfg Key"
DB_Boundary,/DB/CLDR,,"GET, POST, PUT","Put Db Cldr"
DB_Boundary,/DB/CLDR/{id},,"GET, POST, PUT","Put Db Cldr Key"
