Tag,Path,Mode,Methods,Description
CONFIG,/CONFIG/PROJECT,,GET,Project Configuration
CONFIG,/CONFIG/VER,,GET,API Version Information
DB_Analysis,/DB/ACTL,,"GET, POST, PUT, DELETE",Main Control Data
DB_Analysis,/DB/ACTL/{id},,"GET, POST, PUT, DELETE",Main Control Data
DB_Static Loads,/DB/ARPR,,"GET, POST, PUT, DELETE",Delete Db Arpr
DB_Static Loads,/DB/ARPR/{id},,"GET, POST, PUT, DELETE",Delete Db Arpr Key
DB_Analysis,/DB/BCCT,,"GET, POST, PUT, DELETE",Boundary Change Assignment
DB_Analysis,/DB/BCCT/{id},,"GET, POST, PUT, DELETE",Boundary Change Assignment
DB_Static Loads,/DB/BMLD,,"GET, POST, PUT, DELETE",Beam Loads
DB_Static Loads,/DB/BMLD/{id},,"GET, POST, PUT, DELETE",Beam Loads
DB_Project,/DB/BNGR,,"GET, POST, PUT, DELETE",Boundary Group
DB_Project,/DB/BNGR/{id},,"GET, POST, PUT, DELETE",Boundary Group
DB_Static Loads,/DB/BODF,,"GET, POST, PUT, DELETE",Self-Weight
DB_Static Loads,/DB/BODF/{id},,"GET, POST, PUT, DELETE",Self-Weight
DB_Temperature Loads,/DB/BTMP,,"GET, POST, PUT, DELETE",Beam Section Temperature
DB_Temperature Loads,/DB/BTMP/{id},,"GET, POST, PUT, DELETE",Beam Section Temperature
DB_Analysis,/DB/BUCK,,"GET, POST, PUT, DELETE",Buckling Analysis Control
DB_Analysis,/DB/BUCK/{id},,"GET, POST, PUT, DELETE",Buckling Analysis Control
DB_Bridge Specialization Results,/DB/CAMB,,"GET, POST, PUT, DELETE",FCM Camber Control
DB_Bridge Specialization Results,/DB/CAMB/{id},,"GET, POST, PUT, DELETE",FCM Camber Control
DB_Heat of Hydration Loads,/DB/CCFC,,"GET, POST, PUT, DELETE",Convection Coefficient Functions
DB_Heat of Hydration Loads,/DB/CCFC/{id},,"GET, POST, PUT, DELETE",Convection Coefficient Functions
DB_Boundary,/DB/CGLP,,"GET, POST, PUT, DELETE",Change General Link Property
DB_Boundary,/DB/CGLP/{id},,"GET, POST, PUT, DELETE",Change General Link Property
DB_Moving Loads,/DB/CJFG,,"GET, POST, PUT, DELETE",Concurrent Joint Force Group
DB_Moving Loads,/DB/CJFG/{id},,"GET, POST, PUT, DELETE",Concurrent Joint Force Group
DB_Boundary,/DB/CLDR,,"GET, POST, PUT",Define Constraints Label Direction
DB_Boundary,/DB/CLDR/{id},,"GET, POST, PUT",Define Constraints Label Direction
DB_Analysis Results,/DB/CLWP,,"GET, POST, PUT, DELETE",Plate Cutting Line Diagram
DB_Analysis Results,/DB/CLWP/{id},,"GET, POST, PUT, DELETE",Plate Cutting Line Diagram
DB_Construction Stage Loads,/DB/CMCS,,"GET, POST, PUT, DELETE",Camber for Construction Stage
DB_Construction Stage Loads,/DB/CMCS/{id},,"GET, POST, PUT, DELETE",Camber for Construction Stage
DB_Design,/DB/CMFT,,"GET, POST, PUT, DELETE",Delete Db Cmft
DB_Design,/DB/CMFT/{id},,"GET, POST, PUT, DELETE",Delete Db Cmft Key
DB_Static Loads,/DB/CNLD,,"GET, POST, PUT, DELETE",Nodal Loads
DB_Static Loads,/DB/CNLD/{id},,"GET, POST, PUT, DELETE",Nodal Loads
DB_Boundary,/DB/CONS,,"GET, POST, PUT, DELETE",Constraint Support
DB_Boundary,/DB/CONS/{id},,"GET, POST, PUT, DELETE",Constraint Support
DB_View,/DB/CO_F,,"GET, PUT",Floor Load Color
DB_View,/DB/CO_F/{id},,"GET, PUT",Floor Load Color
DB_View,/DB/CO_M,,"GET, PUT",Material Color
DB_View,/DB/CO_M/{id},,"GET, PUT",Material Color
DB_View,/DB/CO_S,,"GET, PUT",Section Color
DB_View,/DB/CO_S/{id},,"GET, PUT",Section Color
DB_View,/DB/CO_T,,"GET, PUT",Thickness Color
DB_View,/DB/CO_T/{id},,"GET, PUT",Thickness Color
DB_Moving Loads,/DB/CRGR,,"GET, POST, PUT, DELETE",Concurrent Reaction Group
DB_Moving Loads,/DB/CRGR/{id},,"GET, POST, PUT, DELETE",Concurrent Reaction Group
DB_Construction Stage Loads,/DB/CRPC,,"GET, POST, PUT, DELETE",Creep Coefficient for Construction Stage
DB_Construction Stage Loads,/DB/CRPC/{id},,"GET, POST, PUT, DELETE",Creep Coefficient for Construction Stage
DB_Construction Stage Loads,/DB/CSCS,,"GET, POST, PUT, DELETE",Composite Section for Construction Stage
DB_Construction Stage Loads,/DB/CSCS/{id},,"GET, POST, PUT, DELETE",Composite Section for Construction Stage
DB_Analysis Results,/DB/CUTL,,"GET, POST, PUT, DELETE",Cutting Line
DB_Analysis Results,/DB/CUTL/{id},,"GET, POST, PUT, DELETE",Cutting Line
DB_Design,/DB/DCON,,"GET, POST, PUT, DELETE",RC Design Code
DB_Design,/DB/DCON/{id},,"GET, POST, PUT, DELETE",RC Design Code
DB_Analysis,/DB/DCTL,,"GET, POST, PUT, DELETE",Definition of Frame
DB_Analysis,/DB/DCTL/{id},,"GET, POST, PUT, DELETE",Definition of Frame
DB_Node/Element,/DB/DOEL,,"GET, POST, PUT, DELETE",Domain-Element
DB_Node/Element,/DB/DOEL/{id},,"GET, POST, PUT, DELETE",Domain-Element
