패널,패널 섹션,파라미터명,비고
RcDgn_A,Design Input Data,Design Code Option,
RcDgn_A,Design Input Data,Common Design Parameters (공통),
RcDgn_A,Design Input Data,Load Combination Type,
RcDgn_A,Design Input Data,Member Assignment (Plate),
RcDgn_A,Design Input Data,Modify RC Material,
RcDgn_A,Rebar 패널,Rebar Input - Beam Section,
RcDgn_A,Rebar 패널,Rebar Input - Column Section,
RcDgn_A,Rebar 패널,Rebar Input - General Section,
RcDgn_A,Table 패널,Common Parameter Tables,
RcDgn_A,Perform 패널,Perform Design,
RcDgn_A,Design Section 패널,Section for Design,
RcDgn_A,Batch Processing 패널,Perform Batch Design,
RcDgn_B,Design Input Data,Design Code Option,
RcDgn_B,Design Input Data,Common Design Parameters (공통),
RcDgn_B,Design Input Data,Strength Reduction Factor,
RcDgn_B,Design Input Data,Modify RC Material,
RcDgn_B,Rebar 패널,Rebar Input - Beam Section,
RcDgn_B,Rebar 패널,Rebar Input - Column Section,
RcDgn_B,Rebar 패널,Rebar Input - General Section,
RcDgn_B,Table 패널,Common Parameter Tables,
RcDgn_B,Perform 패널,Perform Design - RC Design Parameter,
RcDgn_B,Perform 패널,Perform Design - RC Plate Parameter,
RcDgn_B,Design Section 패널,Section for Design,
RcDgn_B,Batch Processing 패널,Perform Batch Design,
RcDgn_C,Design Input Data,Design Code Option,
RcDgn_C,Design Input Data,Common Design Parameters (공통),
RcDgn_C,Design Input Data,Strength Reduction Factor,
RcDgn_C,Design Input Data,Maximum Rebar Ratio,
RcDgn_C,Design Input Data,Limiting Minimum Section Size,
RcDgn_C,Design Input Data,Column Scale Up Factor,
RcDgn_C,Design Input Data,Serviceability Parameters,
RcDgn_C,Design Input Data,Modify RC Material,
RcDgn_C,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_C,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_C,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_C,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_C,Rebar 패널,Rebar Input for Checking - General Section,TWN-BRG-LSD90 제외
RcDgn_C,Table 패널,Common Parameter Tables,
RcDgn_C,Table 패널,Column Scale Up Factor Table,
RcDgn_C,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_C,Perform 패널,Concrete Code Design - Column Design,
RcDgn_C,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_C,Perform 패널,Concrete Code Check - Column Check,
RcDgn_C,Design Section 패널,Section for Design,
RcDgn_C,Batch Processing 패널,Perform Batch Design,
RcDgn_D,Design Input Data,Design Code Option,
RcDgn_D,Design Input Data,Common Design Parameters (공통),
RcDgn_D,Design Input Data,Strength Reduction Factor,
RcDgn_D,Design Input Data,Maximum Rebar Ratio,
RcDgn_D,Design Input Data,Limiting Minimum Section Size,
RcDgn_D,Design Input Data,Column Scale Up Factor,
RcDgn_D,Design Input Data,Serviceability Parameters,
RcDgn_D,Design Input Data,Design Criteria for Rebars,
RcDgn_D,Design Input Data,Serviceability Load Combination Type,
RcDgn_D,Design Input Data,Modify RC Material,
RcDgn_D,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_D,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_D,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_D,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_D,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_D,Rebar 패널,Rebar Input for Plate - Plate Beam Design,
RcDgn_D,Rebar 패널,Rebar Input for Plate - Plate Beam Rebar,
RcDgn_D,Rebar 패널,Rebar Input for Plate - Plate Beam Check,
RcDgn_D,Rebar 패널,Rebar Input for Plate - Plate Column Design,
RcDgn_D,Rebar 패널,Rebar Input for Plate - Plate Column Rebar,
RcDgn_D,Rebar 패널,Rebar Input for Plate - Plate Column Check,
RcDgn_D,Table 패널,Common Parameter Tables,
RcDgn_D,Table 패널,Column Scale Up Factor Table,
RcDgn_D,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_D,Perform 패널,Concrete Code Design - Column Design,
RcDgn_D,Perform 패널,Concrete Code Design - Plate Beam Design,
RcDgn_D,Perform 패널,Concrete Code Design - Plate Column Design,
RcDgn_D,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_D,Perform 패널,Concrete Code Check - Column Check,
RcDgn_D,Perform 패널,Concrete Code Check - Plate Beam Check,
RcDgn_D,Perform 패널,Concrete Code Check - Plate Column Check,
RcDgn_D,Mesh 패널,Meshed Design - Design Criteria for Rebars,Eurocode2-2:05 Shell 국가
RcDgn_D,Mesh 패널,Meshed Design - Slab/Shell Rebars for Checking,Eurocode2-2:05 Shell 국가
RcDgn_D,Mesh 패널,Meshed Design - Shell Design,Eurocode2-2:05 Shell 국가
RcDgn_D,Mesh 패널,Meshed Design - Shell Checking,Eurocode2-2:05 Shell 국가
RcDgn_D,Mesh 패널,Meshed Design - Shell Shear Checking,Eurocode2-2:05 Shell 국가
RcDgn_D,Design Section 패널,Section for Design,
RcDgn_D,Batch Processing 패널,Perform Batch Design,
RcDgn_E,Design Input Data,Design Code Option,
RcDgn_E,Design Input Data,Common Design Parameters (공통),
RcDgn_E,Design Input Data,Strength Reduction Factor,
RcDgn_E,Design Input Data,Maximum Rebar Ratio,
RcDgn_E,Design Input Data,Limiting Minimum Section Size,
RcDgn_E,Design Input Data,Column Scale Up Factor,
RcDgn_E,Design Input Data,Serviceability Parameters,
RcDgn_E,Design Input Data,Modify RC Material,
RcDgn_E,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_E,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_E,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_E,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_E,Table 패널,Common Parameter Tables,
RcDgn_E,Table 패널,Column Scale Up Factor Table,
RcDgn_E,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_E,Perform 패널,Concrete Code Design - Column Design,
RcDgn_E,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_E,Perform 패널,Concrete Code Check - Column Check,
RcDgn_E,Design Section 패널,Section for Design,
RcDgn_E,Batch Processing 패널,Perform Batch Design,
RcDgn_F,Design Input Data,Design Code Option,
RcDgn_F,Design Input Data,Common Design Parameters (공통),
RcDgn_F,Design Input Data,Load Combination Type,
RcDgn_F,Design Input Data,Maximum Rebar Ratio,
RcDgn_F,Design Input Data,Limiting Minimum Section Size,
RcDgn_F,Design Input Data,Strength Reduction Factor (RUS),
RcDgn_F,Design Input Data,Limit State Group 2 Parameters,
RcDgn_F,Design Input Data,Operation Condition Factor,
RcDgn_F,Design Input Data,Modify RC Material,
RcDgn_F,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_F,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_F,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_F,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_F,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_F,Table 패널,Common Parameter Tables,
RcDgn_F,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_F,Perform 패널,Concrete Code Design - Column Design,
RcDgn_F,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_F,Perform 패널,Concrete Code Check - Column Check,
RcDgn_F,Design Section 패널,Section for Design,
RcDgn_F,Batch Processing 패널,Perform Batch Design,
RcDgn_G,Design Input Data,Design Code Option,
RcDgn_G,Design Input Data,Common Design Parameters (공통),
RcDgn_G,Design Input Data,Strength Reduction Factor,
RcDgn_G,Design Input Data,Maximum Rebar Ratio,
RcDgn_G,Design Input Data,Limiting Minimum Section Size,
RcDgn_G,Design Input Data,Serviceability Parameters,
RcDgn_G,Design Input Data,Modify RC Material,
RcDgn_G,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_G,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_G,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_G,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_G,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_G,Table 패널,Common Parameter Tables,
RcDgn_G,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_G,Perform 패널,Concrete Code Design - Column Design,
RcDgn_G,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_G,Perform 패널,Concrete Code Check - Column Check,
RcDgn_G,Design Section 패널,Section for Design,
RcDgn_G,Batch Processing 패널,Perform Batch Design,
RcDgn_H,Design Input Data,Design Code Option,
RcDgn_H,Design Input Data,Common Design Parameters (공통),
RcDgn_H,Design Input Data,Strength Reduction Factor,
RcDgn_H,Design Input Data,Maximum Rebar Ratio,
RcDgn_H,Design Input Data,Limiting Minimum Section Size,
RcDgn_H,Design Input Data,Serviceability Parameters,
RcDgn_H,Design Input Data,Modify RC Material,
RcDgn_H,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_H,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_H,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_H,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_H,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_H,Table 패널,Common Parameter Tables,
RcDgn_H,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_H,Perform 패널,Concrete Code Design - Column Design,
RcDgn_H,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_H,Perform 패널,Concrete Code Check - Column Check,
RcDgn_H,Design Section 패널,Section for Design,
RcDgn_H,Batch Processing 패널,Perform Batch Design,
RcDgn_I,Design Input Data,Design Code Option,
RcDgn_I,Design Input Data,Common Design Parameters (공통),
RcDgn_I,Design Input Data,Strength Reduction Factor,
RcDgn_I,Design Input Data,Maximum Rebar Ratio,
RcDgn_I,Design Input Data,Limiting Minimum Section Size,
RcDgn_I,Design Input Data,Serviceability Parameters,
RcDgn_I,Design Input Data,Modify RC Material,
RcDgn_I,Rebar 패널,Rebar Input for Design - Beam Section,
RcDgn_I,Rebar 패널,Rebar Input for Design - Column Section,
RcDgn_I,Rebar 패널,Rebar Input for Checking - Beam Section,
RcDgn_I,Rebar 패널,Rebar Input for Checking - Column Section,
RcDgn_I,Rebar 패널,Rebar Input for Checking - General Section,
RcDgn_I,Table 패널,Common Parameter Tables,
RcDgn_I,Perform 패널,Concrete Code Design - Beam Design,
RcDgn_I,Perform 패널,Concrete Code Design - Column Design,
RcDgn_I,Perform 패널,Concrete Code Check - Beam Check,
RcDgn_I,Perform 패널,Concrete Code Check - Column Check,
