Tag,Path,Mode,Methods,Description
CONFIG,/CONFIG/PROJECT,,"GET",""
CONFIG,/CONFIG/VER,,"GET",""
DB_Analysis,/DB/DCTL,,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/DCTL/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTBS,,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTBS/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTCH,,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTCH/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTID,,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTID/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTTR,,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/MVCTTR/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/SBCT,,"DELETE, GET, POST, PUT",""
DB_Analysis,/DB/SBCT/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/CUTL,,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/CUTL/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-ALUM,,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-ALUM/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-CFSTEEL,,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-CFSTEEL/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-FDN,,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-FDN/{id},,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-LINEAR,,"DELETE, GET, POST, PUT",""
DB_Analysis Results,/DB/LCOM-LINEAR/{id},,"DELETE, GET, POST, PUT",""
DB_Boundary,/DB/CONS,,"DELETE, GET, POST, PUT",""
DB_Boundary,/DB/CONS/{id},,"DELETE, GET, POST, PUT",""
DB_Boundary,/DB/EARE,,"DELETE, GET, POST, PUT",""
DB_Boundary,/DB/EARE/{id},,"DELETE, GET, POST, PUT",""
DB_Boundary,/DB/IEPI,,"DELETE, GET, POST, PUT",""
DB_Boundary,/DB/IEPI/{id},,"DELETE, GET, POST, PUT",""
DB_Bridge Specialization Results,/DB/CAMB,,"DELETE, GET, POST, PUT",""
DB_Bridge Specialization Results,/DB/CAMB/{id},,"DELETE, GET, POST, PUT",""
DB_Bridge Specialization Results,/DB/GCMB,,"DELETE, GET, POST, PUT",""
DB_Bridge Specialization Results,/DB/GCMB/{id},,"DELETE, GET, POST, PUT",""
DB_Bridge Specialization Results,/DB/GSBG,,"DELETE, GET, POST, PUT",""
DB_Bridge Specialization Results,/DB/GSBG/{id},,"DELETE, GET, POST, PUT",""
DB_Construction Stage Loads,/DB/CMCS,,"DELETE, GET, POST, PUT",""
DB_Construction Stage Loads,/DB/CMCS/{id},,"DELETE, GET, POST, PUT",""
DB_Construction Stage Loads,/DB/STBK,,"DELETE, GET, POST, PUT",""
DB_Construction Stage Loads,/DB/STBK/{id},,"DELETE, GET, POST, PUT",""
DB_Construction Stage Loads (Test),/DB/SGLD,,"GET",""
DB_Construction Stage Loads (Test),/DB/SGLD/{id},,"GET",""
DB_Design,/DB/CMFT,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/CMFT/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/DCON,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/DCON/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/DSTL,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/DSTL/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/KFAC,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/KFAC/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/LENG,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/LENG/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/LTSR,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/LTSR/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MATD,,"GET, PUT",""
DB_Design,/DB/MATD/{id},,"GET, PUT",""
DB_Design,/DB/MBTP,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MBTP/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MDGN,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MDGN/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MEMB,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MEMB/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MRFT,,"DELETE, GET, POST, PUT",""
DB_Design,/DB/MRFT/{id},,"DELETE, GET, POST, PUT",""
DB_Design,/DB/RCHK,,"DELETE, GET, POST, PUT",""
